Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,31.221037,9.1704645,0.9811893900235494,0.010988219862324596,dataset_snu_cell_02_f,50.050484,dataset_snu_cell_02_f,0.958098292350769
1,26.828562,6.7112327,0.9858053922653198,0.0065040841243873505,dataset_snu_cell_02_f,39.50426,dataset_snu_cell_02_f,0.9738962650299072
2,31.733665,9.705093,0.976713756720225,0.016022516045614107,dataset_snu_cell_05_f,48.706467,dataset_snu_cell_05_f,0.9446246027946472
3,31.086365,6.435261,0.9795911610126495,0.011548165262655568,dataset_snu_cell_05_f,43.77283,dataset_snu_cell_05_f,0.9552747011184692
4,34.247417,14.052839,0.9690202077229818,0.03310103550588406,dataset_snu_cell_15_n,63.766914,dataset_snu_cell_15_n,0.8960099220275879
5,30.527689,10.683448,0.9807509382565817,0.01452810607082627,dataset_snu_cell_03_n,53.081764,dataset_snu_cell_03_n,0.9490953683853149
6,33.78321,7.1290336,0.9783981740474701,0.008992310366301194,dataset_snu_cell_02_f,47.061462,dataset_snu_cell_02_f,0.9629536271095276
7,33.421074,9.244758,0.9766122202078501,0.011842372806336753,dataset_snu_cell_11_n,47.70205,dataset_snu_cell_11_n,0.9556884765625
8,33.223793,14.172385,0.9710636039574941,0.027673133663991,dataset_snu_cell_15_n,57.673172,dataset_snu_cell_15_n,0.9149354100227356
9,62.491135,44.775517,0.8665862083435059,0.15911987592409407,dataset_snu_cell_05_f,123.99729,dataset_snu_cell_05_f,0.6411043405532837
10,29.660164,11.3032875,0.9787911375363668,0.017428107378233335,dataset_snu_cell_05_n,49.656578,dataset_snu_cell_05_n,0.944015622138977
11,32.98985,5.2110176,0.9783312181631724,0.005809021203369965,dataset_snu_cell_06_f,39.222126,dataset_snu_cell_06_f,0.9722074270248413
12,46.525967,12.574234,0.952330619096756,0.022884334475267484,dataset_snu_cell_02_n,57.276066,dataset_snu_cell_15_n,0.920738935470581
13,59.30302,43.835297,0.8766999741395315,0.15013792821363678,dataset_snu_cell_07_f,121.68098,dataset_snu_cell_07_f,0.6534216403961182
14,29.46827,16.22637,0.973817507425944,0.036326226110749135,dataset_snu_cell_15_n,64.68508,dataset_snu_cell_15_n,0.892993688583374
15,28.501524,14.779537,0.9772804081439972,0.027498150155426514,dataset_snu_cell_07_f,59.616127,dataset_snu_cell_07_f,0.9168075919151306
16,30.998579,4.5705566,0.9820211231708527,0.004703839813736067,dataset_snu_cell_08_f,37.922546,dataset_snu_cell_08_f,0.9737617373466492
17,33.581024,7.0033116,0.9786944588025411,0.008044523201394208,dataset_snu_cell_04_n,42.89804,dataset_snu_cell_04_n,0.9660913944244385
18,37.15065,7.03407,0.9704931676387787,0.013961080826876492,dataset_snu_cell_07_f,50.152412,dataset_snu_cell_07_f,0.9411237835884094
19,30.521896,11.239052,0.9808128277460734,0.015595606575895437,dataset_snu_cell_03_n,54.34669,dataset_snu_cell_03_n,0.9466403722763062
20,29.003595,8.704875,0.9815028508504232,0.013517000204106474,dataset_snu_cell_05_n,45.85473,dataset_snu_cell_05_n,0.9522600769996643
21,67.98578,50.15972,0.8337914844353994,0.19515421381531048,dataset_snu_cell_05_f,137.76973,dataset_snu_cell_05_f,0.5569513440132141
22,37.328922,11.313292,0.9696502387523651,0.018848918961154985,dataset_snu_cell_05_n,52.507904,dataset_snu_cell_05_n,0.9374017119407654
23,30.416718,4.67271,0.9823021392027537,0.005214333157622716,dataset_snu_cell_06_f,39.058674,dataset_snu_cell_06_f,0.9724385738372803
24,36.02071,8.841137,0.9711942474047343,0.01567996840145708,dataset_snu_cell_07_f,49.261612,dataset_snu_cell_07_f,0.943196713924408
25,34.43845,9.116306,0.9770423273245493,0.011356509069617137,dataset_snu_cell_06_f,49.881695,dataset_snu_cell_06_f,0.9550479650497437
26,32.962482,8.404564,0.9754152794679006,0.015015794046931739,dataset_snu_cell_07_f,46.567154,dataset_snu_cell_07_f,0.9492406845092773
27,36.871292,15.830336,0.9645829399426779,0.03675006669522366,dataset_snu_cell_15_n,66.75607,dataset_snu_cell_15_n,0.8860321044921875
28,36.422714,12.382615,0.9692408045132955,0.023297457859291125,dataset_snu_cell_05_n,58.983047,dataset_snu_cell_05_n,0.9210107922554016
29,29.564009,5.197981,0.9832844932874044,0.004850352666851875,dataset_snu_cell_02_f,37.518852,dataset_snu_cell_02_f,0.9764541387557983
30,29.84159,9.66459,0.9822526673475901,0.011233668170653606,dataset_snu_cell_02_f,49.481976,dataset_snu_cell_02_f,0.9590448141098022
31,36.951897,11.424554,0.9693768421808878,0.018979321262535407,dataset_snu_cell_11_n,53.055378,dataset_snu_cell_05_n,0.9419609308242798
32,28.863733,7.5755887,0.9837377866109213,0.008532377294161054,dataset_snu_cell_04_n,42.35776,dataset_snu_cell_04_n,0.96694016456604
33,43.58551,8.229148,0.9620271325111389,0.01590155828009703,dataset_snu_cell_07_f,52.509438,dataset_snu_cell_07_f,0.9354597330093384
34,71.901436,45.68382,0.8311607937018076,0.18236442578780987,dataset_snu_cell_07_f,140.63335,dataset_snu_cell_07_f,0.5370515584945679
35,27.929209,4.2653913,0.9857079088687897,0.00420050689530219,dataset_snu_cell_03_f,32.95159,dataset_snu_cell_08_f,0.9808157682418823
36,28.519255,6.263059,0.9833086927731832,0.008475142111921909,dataset_snu_cell_05_n,38.620808,dataset_snu_cell_05_n,0.9661346077919006
37,29.855087,10.691951,0.9796046018600464,0.019362004437035875,dataset_snu_cell_05_n,52.83249,dataset_snu_cell_05_n,0.9366253614425659
38,28.548792,3.0068736,0.9841702580451965,0.0029829752924555035,dataset_snu_cell_06_f,34.551186,dataset_snu_cell_06_f,0.978432834148407
