Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,31.39665,13.556686,0.9781665901343027,0.01645249340771906,dataset_snu_cell_04_n,48.535255,dataset_snu_cell_04_n,0.954934298992157
1,24.768389,11.163119,0.9847630759080251,0.012928735087467393,dataset_snu_cell_04_n,45.684845,dataset_snu_cell_04_n,0.9600721597671509
2,22.202827,5.5982833,0.9890145361423492,0.005931352642128776,dataset_snu_cell_07_f,30.144718,dataset_snu_cell_07_f,0.9778094291687012
3,25.504095,11.426172,0.9850082596143087,0.013160119793162709,dataset_snu_cell_03_n,47.62131,dataset_snu_cell_03_n,0.9574788808822632
4,36.43768,18.037422,0.9616334637006124,0.037905142263423994,dataset_snu_cell_15_n,64.506004,dataset_snu_cell_15_n,0.8887671828269958
5,28.285324,9.298621,0.9813172320524851,0.012942627503373848,dataset_snu_cell_05_n,42.33199,dataset_snu_cell_05_n,0.957581102848053
6,31.837423,12.630021,0.9778485099474589,0.01440995328367604,dataset_snu_cell_03_n,47.577423,dataset_snu_cell_03_n,0.957557201385498
7,25.594385,11.879911,0.9836655755837759,0.01287623487166678,dataset_snu_cell_04_n,42.97238,dataset_snu_cell_04_n,0.9646726846694946
8,20.829271,3.180769,0.9912816186745962,0.0032000367672047987,dataset_snu_cell_06_n,26.439453,dataset_snu_cell_06_n,0.9849266409873962
9,39.10048,12.826638,0.9627599616845449,0.02795385374996188,dataset_snu_cell_15_n,58.961384,dataset_snu_cell_15_n,0.9070674180984497
10,40.239574,28.492332,0.9420428375403086,0.06985387611347307,dataset_snu_cell_05_f,80.208984,dataset_snu_cell_05_f,0.8433415293693542
11,26.6642,5.46155,0.9845554530620575,0.006500513663721015,dataset_snu_cell_11_n,36.128063,dataset_snu_cell_11_n,0.9735826253890991
12,31.485489,9.275196,0.9761139154434204,0.016807650911435938,dataset_snu_cell_05_n,50.08634,dataset_snu_cell_05_n,0.9406172037124634
13,40.691242,15.482879,0.9583426614602407,0.03512706672399269,dataset_snu_cell_15_n,64.468925,dataset_snu_cell_15_n,0.8888950347900391
14,20.23924,6.780844,0.9908296366532644,0.005410046265833768,dataset_snu_cell_06_n,28.563854,dataset_snu_cell_06_n,0.9824070930480957
15,23.785896,12.043551,0.9835167527198792,0.018632633102975606,dataset_snu_cell_15_n,45.845627,dataset_snu_cell_15_n,0.9438139200210571
16,35.59004,11.938482,0.9719715019067129,0.016393139928356212,dataset_snu_cell_03_n,49.109913,dataset_snu_cell_02_n,0.952023446559906
17,31.738174,11.473389,0.9773647487163544,0.01657283981453315,dataset_snu_cell_04_n,55.021248,dataset_snu_cell_04_n,0.942084789276123
18,21.494308,5.339733,0.9904831151167551,0.005124211577045248,dataset_snu_cell_07_n,32.32967,dataset_snu_cell_07_n,0.9796462059020996
19,31.63449,16.583645,0.9696276982625326,0.034338969374842515,dataset_snu_cell_15_n,61.399067,dataset_snu_cell_15_n,0.8992242217063904
20,29.69683,15.953927,0.9748521745204926,0.020905044706328594,dataset_snu_cell_05_f,46.29095,dataset_snu_cell_05_f,0.9478204846382141
21,26.208696,5.725714,0.9855035642782847,0.006206989848055294,dataset_snu_cell_07_f,31.70655,dataset_snu_cell_07_f,0.9754503965377808
22,32.831326,11.202589,0.9743052323659261,0.015298652749801803,dataset_snu_cell_05_n,45.062298,dataset_snu_cell_05_n,0.9519327878952026
23,26.130836,4.35766,0.9863476753234863,0.004402873818581142,dataset_snu_cell_06_f,31.79775,dataset_snu_cell_06_f,0.9810419082641602
24,25.257238,7.5157423,0.9849645098050436,0.010564857481677715,dataset_snu_cell_07_f,38.779274,dataset_snu_cell_07_f,0.9632763862609863
25,23.64535,7.8451667,0.9884955982367197,0.007302425848337045,dataset_snu_cell_02_f,37.127926,dataset_snu_cell_02_f,0.9761033654212952
