Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,45.848675,12.754339,0.9562470316886902,0.029298100354452728,dataset_snu_cell_05_n,69.3967,dataset_snu_cell_05_n,0.8941792249679565
1,37.180317,13.543558,0.9684009949366251,0.029756657491185397,dataset_snu_cell_05_f,65.67261,dataset_snu_cell_05_f,0.9026142358779907
2,50.041378,15.994256,0.9404716690381368,0.04469332989684377,dataset_snu_cell_05_f,74.05554,dataset_snu_cell_05_f,0.8761653900146484
3,31.502214,14.818228,0.9731444418430328,0.033461386817409726,dataset_snu_cell_15_n,64.09311,dataset_snu_cell_15_n,0.8985296487808228
4,40.47859,13.977809,0.9618433117866516,0.029060680121041814,dataset_snu_cell_05_n,62.060173,dataset_snu_cell_05_n,0.9153710007667542
5,39.50272,9.749145,0.9709069927533468,0.012552914871350743,dataset_snu_cell_02_f,55.72721,dataset_snu_cell_02_f,0.9494954943656921
6,32.29502,8.429967,0.9802459875742594,0.009114527016814325,dataset_snu_cell_02_f,46.58853,dataset_snu_cell_02_f,0.9647017121315002
7,27.069954,8.759715,0.985343724489212,0.00945692144067046,dataset_snu_cell_04_n,42.406773,dataset_snu_cell_04_n,0.9678274989128113
8,32.957573,11.1248255,0.9763070146242777,0.020797973713291784,dataset_snu_cell_05_n,55.852562,dataset_snu_cell_05_n,0.9314544200897217
9,40.895885,13.7171755,0.9610256055990855,0.03148788741359295,dataset_snu_cell_15_n,64.72217,dataset_snu_cell_15_n,0.8965280055999756
10,41.714874,11.719865,0.9632885654767355,0.025745439805129538,dataset_snu_cell_05_f,63.1543,dataset_snu_cell_05_f,0.9099398255348206
11,28.892183,5.754167,0.9838413794835409,0.005808740227451225,dataset_snu_cell_06_f,39.293903,dataset_snu_cell_06_f,0.9729092121124268
12,35.549343,14.848916,0.9703246752421061,0.028404951325876567,dataset_snu_cell_07_f,62.679546,dataset_snu_cell_07_f,0.9110448360443115
13,39.114613,16.31187,0.961037149031957,0.04325922825823227,dataset_snu_cell_15_n,73.79736,dataset_snu_cell_15_n,0.8654764890670776
14,41.02498,12.985967,0.9652924239635468,0.020564778701361433,dataset_snu_cell_03_n,56.57127,dataset_snu_cell_05_f,0.935289740562439
15,33.00216,4.125211,0.9789311488469442,0.00506294792026125,dataset_snu_cell_11_n,39.42654,dataset_snu_cell_11_n,0.9706341624259949
16,31.218668,10.714454,0.9808851977189382,0.01290856469322038,dataset_snu_cell_02_f,53.73345,dataset_snu_cell_02_f,0.9530446529388428
17,28.994207,7.5640845,0.9840341707070669,0.0072796701867745735,dataset_snu_cell_08_f,39.332024,dataset_snu_cell_08_f,0.9725921750068665
18,38.9266,14.513035,0.964287132024765,0.03054960731516616,dataset_snu_cell_05_n,66.83357,dataset_snu_cell_05_n,0.9018517732620239
19,39.04419,4.6067896,0.9718228975931803,0.005197590672348651,dataset_snu_cell_02_f,47.19158,dataset_snu_cell_02_f,0.963782012462616
20,35.912235,15.274531,0.9696862101554871,0.03162021333711064,dataset_snu_cell_05_n,67.21304,dataset_snu_cell_05_n,0.9007340669631958
21,33.87128,14.1702175,0.9721987843513489,0.028296552045046174,dataset_snu_cell_15_n,59.69213,dataset_snu_cell_15_n,0.911986231803894
22,48.72475,17.05527,0.9451456566651663,0.04128502228035276,dataset_snu_cell_07_f,74.924515,dataset_snu_cell_07_f,0.8728936910629272
23,39.75977,19.357048,0.9593424201011658,0.04964234678491222,dataset_snu_cell_07_f,81.689644,dataset_snu_cell_07_f,0.8489038944244385
24,37.798412,9.8538685,0.9729064106941223,0.013057926240969856,dataset_snu_cell_08_f,53.87779,dataset_snu_cell_08_f,0.9485717415809631
25,35.701385,12.367828,0.9722497661908468,0.023336467132359016,dataset_snu_cell_05_n,59.502598,dataset_snu_cell_05_n,0.9222025871276855
26,38.776814,11.031438,0.9709365765253702,0.015698580266195652,dataset_snu_cell_03_n,56.9499,dataset_snu_cell_03_n,0.9430941343307495
27,30.878431,5.0721107,0.9821256796518961,0.006322997564304112,dataset_snu_cell_11_n,40.089794,dataset_snu_cell_11_n,0.9696378111839294
28,60.184704,33.24801,0.8976760605971018,0.10906837977166857,dataset_snu_cell_07_f,108.950676,dataset_snu_cell_07_f,0.7312310338020325
29,33.406918,5.7234297,0.9787363310654958,0.0067574948853171635,dataset_snu_cell_11_n,40.96444,dataset_snu_cell_11_n,0.9682985544204712
30,40.92464,14.933825,0.962312251329422,0.03060899785875444,dataset_snu_cell_05_n,67.66345,dataset_snu_cell_05_n,0.8993991613388062
31,35.937492,12.776144,0.9707155525684357,0.025600098055853816,dataset_snu_cell_05_f,61.027466,dataset_snu_cell_05_f,0.9159035682678223
32,36.523,4.137191,0.9751243889331818,0.004983763046338723,dataset_snu_cell_06_f,43.82977,dataset_snu_cell_06_f,0.9662938714027405
33,46.93126,7.030614,0.959013303120931,0.01356265250176799,dataset_snu_cell_07_n,61.792698,dataset_snu_cell_07_n,0.9305065274238586
34,37.68228,16.159582,0.9630917509396871,0.03428967390604853,dataset_snu_cell_07_f,63.043056,dataset_snu_cell_07_f,0.9100100994110107
35,42.003475,15.402676,0.9609969158967336,0.03085706200895007,dataset_snu_cell_05_n,68.1694,dataset_snu_cell_05_n,0.8978890776634216
36,35.476925,6.9080577,0.9759555558363596,0.009159808496694326,dataset_snu_cell_06_f,50.061703,dataset_snu_cell_06_f,0.9560273885726929
37,36.995007,17.129797,0.9657039443651835,0.03983130970090131,dataset_snu_cell_05_n,74.81212,dataset_snu_cell_05_n,0.8770192861557007
38,35.436813,8.301386,0.9760950803756714,0.009608086372718237,dataset_snu_cell_08_f,46.189346,dataset_snu_cell_08_f,0.962202250957489
39,40.09591,11.3817425,0.9641220271587372,0.026652012271887765,dataset_snu_cell_15_n,61.45423,dataset_snu_cell_15_n,0.9067131876945496
40,40.427658,12.677678,0.9684529006481171,0.01716050591768879,dataset_snu_cell_03_n,56.909172,dataset_snu_cell_03_n,0.9431755542755127
41,67.96979,47.356876,0.8510263959566752,0.1754897780205021,dataset_snu_cell_07_f,135.4872,dataset_snu_cell_07_f,0.5843614935874939
42,47.58203,9.571985,0.9564392566680908,0.017666840782348345,dataset_snu_cell_03_n,67.49496,dataset_snu_cell_03_n,0.9200693368911743
43,36.84191,12.710554,0.9696338872114817,0.027537863429753735,dataset_snu_cell_07_f,63.285748,dataset_snu_cell_07_f,0.9093158841133118
44,38.97163,14.793416,0.9662769834200541,0.025940042354519438,dataset_snu_cell_03_n,60.14359,dataset_snu_cell_05_n,0.9239843487739563
45,34.949623,6.330063,0.9774711231390635,0.007342235974959565,dataset_snu_cell_08_f,42.6235,dataset_snu_cell_08_f,0.9678130149841309
46,39.031292,11.668187,0.9658695658047994,0.02106981556231097,dataset_snu_cell_03_n,52.675003,dataset_snu_cell_15_n,0.9339241981506348
47,46.35597,20.707367,0.9426213304201762,0.05439673476155274,dataset_snu_cell_07_f,76.05503,dataset_snu_cell_15_n,0.8629959225654602
48,35.204346,10.345505,0.9756099184354147,0.013956403605368154,dataset_snu_cell_03_n,54.278133,dataset_snu_cell_03_n,0.9483083486557007
49,34.575493,5.3810053,0.9780102769533793,0.006402874207317496,dataset_snu_cell_07_n,42.51622,dataset_snu_cell_07_n,0.9671012759208679
50,36.31876,9.685609,0.9742516974608103,0.013924912515908968,dataset_snu_cell_03_n,55.89314,dataset_snu_cell_03_n,0.9451864361763
51,30.923141,7.964621,0.9814836780230204,0.008556692051346933,dataset_snu_cell_07_n,40.774338,dataset_snu_cell_07_n,0.9697417616844177
52,55.018875,16.5019,0.9264078736305237,0.04693393856751219,dataset_snu_cell_07_f,78.913216,dataset_snu_cell_07_f,0.8590000867843628
53,52.598125,17.560532,0.9338946839173635,0.04735055218567119,dataset_snu_cell_07_f,75.63898,dataset_snu_cell_15_n,0.8689268827438354
54,40.9158,12.446129,0.9624717632929484,0.027699260293817217,dataset_snu_cell_15_n,62.24358,dataset_snu_cell_15_n,0.9043014049530029
55,28.36381,4.3685284,0.9847804506619772,0.004294604911919448,dataset_snu_cell_06_f,36.30979,dataset_snu_cell_06_f,0.9768677353858948
56,38.1143,6.581817,0.9728674193223318,0.00855242229044975,dataset_snu_cell_11_n,47.15334,dataset_snu_cell_11_n,0.9579960703849792
57,38.758465,13.436624,0.9646816949049631,0.02552415816759844,dataset_snu_cell_15_n,57.443615,dataset_snu_cell_15_n,0.9184920191764832
58,59.431686,29.835598,0.906172921260198,0.09430667162297363,dataset_snu_cell_07_f,103.43609,dataset_snu_cell_07_f,0.7577501535415649
59,38.48022,16.170185,0.9639698167641958,0.03764222142402581,dataset_snu_cell_05_n,73.73388,dataset_snu_cell_05_n,0.8805387020111084
60,42.2469,13.418928,0.9607864419619242,0.032248706623710696,dataset_snu_cell_05_f,69.46369,dataset_snu_cell_05_f,0.8910461068153381
61,42.372795,11.143439,0.9625385701656342,0.02381505885095818,dataset_snu_cell_07_f,62.194626,dataset_snu_cell_07_f,0.9124159216880798
62,38.38014,8.755268,0.9719503819942474,0.010937709145230385,dataset_snu_cell_02_f,55.434635,dataset_snu_cell_02_f,0.950024425983429
63,44.089336,10.4930105,0.961552749077479,0.017928163277533073,dataset_snu_cell_03_n,58.93404,dataset_snu_cell_07_f,0.93741375207901
64,53.59291,14.58771,0.9386416971683502,0.03744102999681703,dataset_snu_cell_05_f,73.17801,dataset_snu_cell_05_f,0.8790827989578247
65,36.554276,12.379538,0.9726529518763224,0.017544057003697995,dataset_snu_cell_03_n,58.508404,dataset_snu_cell_03_n,0.9399369359016418
66,46.738728,13.9695835,0.9505176146825155,0.03578704041028742,dataset_snu_cell_05_n,65.40257,dataset_snu_cell_15_n,0.895416259765625
67,46.705585,7.1910424,0.9561459124088287,0.018988320645171242,dataset_snu_cell_07_f,60.81644,dataset_snu_cell_07_f,0.9162545204162598
68,44.823975,9.789911,0.9637872080008189,0.013318424330723637,dataset_snu_cell_08_f,54.25791,dataset_snu_cell_08_f,0.9478434920310974
69,29.733648,6.5660653,0.9828410049279531,0.007225450768915216,dataset_snu_cell_06_f,42.053364,dataset_snu_cell_06_f,0.9689706563949585
70,36.095684,10.655062,0.9750521779060364,0.015230491234584373,dataset_snu_cell_03_n,56.60615,dataset_snu_cell_03_n,0.9437790513038635
71,40.619423,15.115551,0.9606780409812927,0.032633329394518074,dataset_snu_cell_05_n,65.651405,dataset_snu_cell_05_n,0.9052931666374207
72,40.296417,15.71819,0.9585972627003988,0.034851176474231534,dataset_snu_cell_15_n,63.059742,dataset_snu_cell_15_n,0.9017752408981323
73,46.62216,19.725018,0.9487052957216898,0.049158410103941654,dataset_snu_cell_05_f,83.32122,dataset_snu_cell_05_f,0.8432389497756958
74,41.894276,10.765197,0.9663580060005188,0.0167221164634696,dataset_snu_cell_03_n,60.382713,dataset_snu_cell_03_n,0.9360271096229553
75,30.72289,8.733812,0.9820661644140879,0.009797011369052491,dataset_snu_cell_02_f,46.441124,dataset_snu_cell_02_f,0.9649247527122498
76,48.824635,10.885208,0.9540014962355295,0.02152622969440494,dataset_snu_cell_05_n,61.27746,dataset_snu_cell_05_n,0.9174922704696655
77,34.85138,12.804175,0.9724252820014954,0.025519644336751572,dataset_snu_cell_05_n,61.651955,dataset_snu_cell_05_n,0.9164806604385376
78,42.08675,6.4747868,0.965802272160848,0.014581756886827904,dataset_snu_cell_05_f,53.70978,dataset_snu_cell_05_f,0.9348620772361755
79,37.48052,12.19965,0.9689809679985046,0.025692685882359022,dataset_snu_cell_05_n,63.194572,dataset_snu_cell_05_n,0.9122488498687744
80,40.95969,9.894395,0.9665607611338297,0.01589834568021625,dataset_snu_cell_03_n,60.319187,dataset_snu_cell_03_n,0.9361616373062134
81,34.771957,5.836619,0.976936548948288,0.008587108141859872,dataset_snu_cell_02_n,46.440384,dataset_snu_cell_02_n,0.9587405920028687
82,28.926737,3.9136183,0.9843871394793192,0.003836181833623256,dataset_snu_cell_04_n,34.30359,dataset_snu_cell_04_n,0.9789479970932007
83,37.360462,11.597975,0.9702238043149313,0.01984751246480183,dataset_snu_cell_07_f,55.108692,dataset_snu_cell_07_f,0.9312362670898438
84,38.662212,10.378117,0.9673474828402201,0.024366385868540293,dataset_snu_cell_15_n,58.57577,dataset_snu_cell_15_n,0.9152474999427795
85,32.281452,9.372273,0.9796041051546732,0.012103673847939448,dataset_snu_cell_03_n,50.4215,dataset_snu_cell_03_n,0.9553930759429932
86,32.17955,5.099912,0.9809062083562216,0.005653581230399832,dataset_snu_cell_08_f,39.85368,dataset_snu_cell_08_f,0.9718603491783142
87,37.54903,13.93574,0.9722637335459391,0.016714373400743828,dataset_snu_cell_02_f,58.12566,dataset_snu_cell_02_f,0.9450545907020569
88,36.93849,18.404955,0.9622864623864492,0.04741742878870561,dataset_snu_cell_15_n,76.06031,dataset_snu_cell_15_n,0.8570998311042786
89,30.047548,2.9680357,0.9831416308879852,0.0026601240941306046,dataset_snu_cell_03_f,33.61739,dataset_snu_cell_14_f,0.9785513281822205
90,35.015198,5.7038336,0.975395401318868,0.009421622470444943,dataset_snu_cell_05_f,42.86323,dataset_snu_cell_05_f,0.9585144519805908
91,41.448315,15.108371,0.9598185817400614,0.03366049739050371,dataset_snu_cell_05_n,66.340004,dataset_snu_cell_05_n,0.9032960534095764
92,33.48639,11.803671,0.9768867592016856,0.01728610508161429,dataset_snu_cell_03_n,59.057446,dataset_snu_cell_03_n,0.9388043880462646
93,32.169575,6.535459,0.9805522660414377,0.008153970411244259,dataset_snu_cell_08_f,44.99287,dataset_snu_cell_08_f,0.9641351103782654
94,64.11094,42.565586,0.8690770169099172,0.15091368726332102,dataset_snu_cell_05_f,123.970985,dataset_snu_cell_05_f,0.6529699563980103
95,38.470245,11.488252,0.96757905681928,0.024733147361176253,dataset_snu_cell_05_n,62.63069,dataset_snu_cell_05_n,0.9138078689575195
96,36.134163,9.102291,0.9742727279663086,0.012600438173007478,dataset_snu_cell_11_n,50.05226,dataset_snu_cell_11_n,0.9526726007461548
97,39.15373,11.003941,0.9700963993867239,0.017326654891676892,dataset_snu_cell_03_n,61.94831,dataset_snu_cell_03_n,0.9326667189598083
98,39.12201,11.390509,0.9705353180567423,0.01710245772161963,dataset_snu_cell_03_n,60.64815,dataset_snu_cell_03_n,0.9354634284973145
99,32.711517,12.616357,0.977602461973826,0.016606846104656806,dataset_snu_cell_03_n,55.895794,dataset_snu_cell_03_n,0.9451812505722046
