Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,42.304596,24.876638,0.9503417412439982,0.06527312787650424,dataset_snu_cell_05_n,93.723976,dataset_snu_cell_05_n,0.806983470916748
1,30.04348,18.97397,0.973809132973353,0.03569865081671675,dataset_snu_cell_05_f,67.85015,dataset_snu_cell_05_f,0.8960490226745605
2,43.426304,28.67862,0.9372676014900208,0.08146330903109748,dataset_snu_cell_15_n,96.22928,dataset_snu_cell_15_n,0.7712658643722534
3,35.846317,30.63969,0.9476743141810099,0.09209289223834609,dataset_snu_cell_15_n,102.11823,dataset_snu_cell_15_n,0.7424134612083435
4,42.046032,28.29068,0.9444465736548106,0.06796325793547202,dataset_snu_cell_05_n,90.854996,dataset_snu_cell_05_n,0.8186193704605103
5,30.196716,7.1574802,0.9821935494740804,0.009508323001357488,dataset_snu_cell_06_n,42.626907,dataset_snu_cell_06_n,0.9635086059570312
6,16.298777,4.681464,0.99469722310702,0.0031884880849003096,dataset_snu_cell_13_f,24.009037,dataset_snu_cell_13_f,0.98836350440979
7,19.012915,6.1016245,0.9928815563519796,0.0046583498175375455,dataset_snu_cell_10_f,31.004782,dataset_snu_cell_10_f,0.9830514788627625
8,46.329243,21.618622,0.9478394488493601,0.0619586328953589,dataset_snu_cell_05_n,92.874275,dataset_snu_cell_05_n,0.8104673624038696
9,28.104136,27.91328,0.9624423881371816,0.07337182762846438,dataset_snu_cell_15_n,90.3398,dataset_snu_cell_15_n,0.798407256603241
10,37.318592,16.318338,0.9665538966655731,0.036563736246921295,dataset_snu_cell_05_f,70.93109,dataset_snu_cell_05_f,0.8863942623138428
11,24.36051,7.8645267,0.9872441788514456,0.008097156272279273,dataset_snu_cell_12_f,36.076447,dataset_snu_cell_12_f,0.9737263321876526
12,30.057257,13.28306,0.977937271197637,0.024514819483932856,dataset_snu_cell_07_f,58.000126,dataset_snu_cell_07_f,0.9238312244415283
13,37.118385,28.95833,0.9483366310596466,0.09064896277569133,dataset_snu_cell_15_n,101.457886,dataset_snu_cell_15_n,0.7457340955734253
14,39.05801,17.247494,0.9629428088665009,0.04161581293059675,dataset_snu_cell_05_f,75.525475,dataset_snu_cell_05_f,0.8712005615234375
15,28.97638,10.168484,0.9820097883542379,0.010480850037323537,dataset_snu_cell_10_f,41.537724,dataset_snu_cell_10_f,0.9695799946784973
16,16.034868,6.6280556,0.9943148493766785,0.005496095155862157,dataset_snu_cell_12_f,29.563337,dataset_snu_cell_12_f,0.9823566675186157
17,19.321535,5.677702,0.9925897419452667,0.004137560110284978,dataset_snu_cell_08_f,27.4113,dataset_snu_cell_08_f,0.9866880774497986
18,38.76707,24.168642,0.955344965060552,0.05453899070412182,dataset_snu_cell_05_n,84.37175,dataset_snu_cell_05_n,0.8435817956924438
19,17.303736,4.1391,0.9942042926947275,0.0028574676844733736,dataset_snu_cell_02_n,24.592304,dataset_snu_cell_02_n,0.9884300827980042
20,45.629715,26.737118,0.9434015154838562,0.07522703842612614,dataset_snu_cell_05_n,100.546555,dataset_snu_cell_05_n,0.7778595685958862
21,31.90358,28.646101,0.9568338890870413,0.08135137488198928,dataset_snu_cell_15_n,95.44055,dataset_snu_cell_15_n,0.7749999761581421
22,45.624714,25.19301,0.9417368471622467,0.0646463956016161,dataset_snu_cell_05_n,92.35938,dataset_snu_cell_05_n,0.8125630617141724
23,30.77446,13.355411,0.9766575197378794,0.022747939878683742,dataset_snu_cell_07_f,56.07865,dataset_snu_cell_07_f,0.9287943840026855
24,25.722488,6.6969256,0.9872522056102753,0.006117675468516233,dataset_snu_cell_08_f,33.88872,dataset_snu_cell_08_f,0.9796533584594727
25,44.15427,27.308853,0.9441544711589813,0.07489228088815718,dataset_snu_cell_05_n,99.94305,dataset_snu_cell_05_n,0.7805182933807373
26,34.193245,8.492441,0.9772837460041046,0.011731843334444145,dataset_snu_cell_12_f,45.326664,dataset_snu_cell_12_f,0.958525538444519
27,24.376436,7.159584,0.988195796807607,0.0064307631625919,dataset_snu_cell_10_f,35.278313,dataset_snu_cell_10_f,0.978057324886322
28,47.3222,21.600922,0.9423107902208964,0.05570540469784487,dataset_snu_cell_05_f,80.59817,dataset_snu_cell_05_f,0.8533178567886353
29,20.478642,8.99695,0.9908991555372874,0.008384186573992617,dataset_snu_cell_10_f,39.307846,dataset_snu_cell_10_f,0.972758412361145
30,40.026867,25.333857,0.9533328811327616,0.06376639358711834,dataset_snu_cell_05_n,92.22665,dataset_snu_cell_05_n,0.8131014108657837
31,29.262476,15.770536,0.9768246511618296,0.030124813767708845,dataset_snu_cell_05_f,63.060726,dataset_snu_cell_05_f,0.9102064967155457
32,18.678926,6.4839463,0.9926701287428538,0.005395988419535828,dataset_snu_cell_13_f,29.64832,dataset_snu_cell_13_f,0.9822551012039185
33,24.157068,8.073403,0.9879019856452942,0.009565676148362803,dataset_snu_cell_12_f,40.22449,dataset_snu_cell_12_f,0.9673371315002441
34,44.382874,31.055185,0.9316667914390564,0.09305528263658429,dataset_snu_cell_15_n,102.951614,dataset_snu_cell_15_n,0.7381920218467712
35,37.650826,26.386068,0.9554149309794108,0.06332013382937392,dataset_snu_cell_05_n,91.389946,dataset_snu_cell_05_n,0.8164771795272827
36,28.967194,8.789149,0.9826255540053049,0.011053288144010007,dataset_snu_cell_06_n,43.931293,dataset_snu_cell_06_n,0.9612411260604858
37,39.440258,28.68329,0.9497010906537374,0.0723306782231298,dataset_snu_cell_05_n,97.34195,dataset_snu_cell_05_n,0.7917940020561218
38,28.296629,9.357304,0.9838638106981913,0.009727681600255713,dataset_snu_cell_08_f,42.39084,dataset_snu_cell_08_f,0.9681634306907654
39,35.234547,28.09932,0.9527146518230438,0.08129947297408942,dataset_snu_cell_15_n,96.18564,dataset_snu_cell_15_n,0.771473228931427
40,23.98152,7.098355,0.9888304471969604,0.006744538914606009,dataset_snu_cell_08_f,37.755726,dataset_snu_cell_08_f,0.974744975566864
41,45.485256,23.907518,0.9434342384338379,0.059383382776026686,dataset_snu_cell_05_f,82.09442,dataset_snu_cell_05_f,0.8478211760520935
42,23.586067,7.328067,0.9888215859731039,0.00615104481091778,dataset_snu_cell_04_f,31.455967,dataset_snu_cell_13_f,0.9818370938301086
43,23.605812,14.574379,0.9841880102952322,0.020821010867439198,dataset_snu_cell_07_f,51.670033,dataset_snu_cell_07_f,0.9395499229431152
44,34.06197,23.582708,0.9641617933909098,0.055290059269989165,dataset_snu_cell_05_n,85.06544,dataset_snu_cell_05_n,0.8409991264343262
45,25.553663,6.890895,0.9869827727476755,0.00802892715606129,dataset_snu_cell_06_n,38.18355,dataset_snu_cell_06_n,0.9707196950912476
46,43.676167,28.33545,0.9373021324475607,0.08109320106080771,dataset_snu_cell_15_n,96.663956,dataset_snu_cell_15_n,0.7691947221755981
47,41.887653,28.554495,0.9404628773530325,0.08084180291918668,dataset_snu_cell_15_n,96.324165,dataset_snu_cell_15_n,0.7708145380020142
48,23.375633,7.4440837,0.9887490371863047,0.00671040138742824,dataset_snu_cell_06_n,33.20117,dataset_snu_cell_06_n,0.9778624176979065
49,25.601713,7.5659685,0.9870724380016327,0.007026456602961302,dataset_snu_cell_13_f,34.74116,dataset_snu_cell_13_f,0.9756352305412292
50,19.373508,7.1121464,0.9921558598677317,0.005372735514313701,dataset_snu_cell_03_n,29.33932,dataset_snu_cell_13_f,0.9848793148994446
51,35.348907,12.16125,0.9741676151752472,0.016409267768900924,dataset_snu_cell_10_f,51.84939,dataset_snu_cell_10_f,0.9526018500328064
52,65.41839,30.901495,0.8807047704855601,0.10206405051441635,dataset_snu_cell_15_n,108.34316,dataset_snu_cell_15_n,0.7100523710250854
53,48.81226,29.742298,0.9245122075080872,0.09424565890290816,dataset_snu_cell_15_n,104.90764,dataset_snu_cell_15_n,0.7281490564346313
54,35.97115,27.230185,0.9526379009087881,0.0783154162832755,dataset_snu_cell_15_n,94.71176,dataset_snu_cell_15_n,0.7784231901168823
55,24.46932,8.560922,0.9872770110766093,0.008611332827877828,dataset_snu_cell_06_n,38.111435,dataset_snu_cell_06_n,0.9708302021026611
56,24.207972,8.457656,0.9877734283606211,0.007882807566377966,dataset_snu_cell_08_f,35.279022,dataset_snu_cell_08_f,0.9779496788978577
57,42.48496,29.377007,0.9379581411679586,0.08061099245689765,dataset_snu_cell_15_n,94.6245,dataset_snu_cell_15_n,0.7788312435150146
58,33.842056,24.196756,0.9620146552721659,0.04740350928736535,dataset_snu_cell_05_f,71.83595,dataset_snu_cell_05_f,0.8834772706031799
59,34.60474,27.743732,0.9580634733041128,0.06346440050014555,dataset_snu_cell_05_n,90.7765,dataset_snu_cell_05_n,0.8189327120780945
60,31.756472,19.533972,0.970546285311381,0.041519316714667735,dataset_snu_cell_05_f,73.15279,dataset_snu_cell_05_f,0.8791661262512207
61,27.105064,13.766261,0.9810209075609843,0.022327991828143025,dataset_snu_cell_07_f,54.582653,dataset_snu_cell_07_f,0.9325427412986755
62,30.237778,8.767301,0.9808531502882639,0.011361773633117677,dataset_snu_cell_06_n,43.798706,dataset_snu_cell_06_n,0.9614747166633606
63,35.609573,10.167442,0.9731667041778564,0.019569029202200255,dataset_snu_cell_07_f,54.68127,dataset_snu_cell_07_f,0.9322987794876099
64,39.644375,29.907055,0.9465797046820322,0.06998573761281335,dataset_snu_cell_05_n,92.01539,dataset_snu_cell_05_n,0.8139566779136658
65,20.269833,8.470433,0.9912686049938202,0.0074448262669155356,dataset_snu_cell_03_n,37.306156,dataset_snu_cell_03_n,0.9755807518959045
66,46.438366,33.487137,0.9250445167223612,0.09673572120303833,dataset_snu_cell_15_n,101.02382,dataset_snu_cell_15_n,0.7479050159454346
