Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value,Weights
0,29.996918,13.54972,0.9809087912241617,0.017158323186468705,dataset_snu_cell_03_n,54.760303,dataset_snu_cell_03_n,0.9475128650665283,[ 0.7514488  -0.02660867  0.0245946   0.23650765]
1,26.880339,7.85045,0.9843120177586874,0.012697480263716521,dataset_snu_cell_07_f,44.13037,dataset_snu_cell_07_f,0.9560253620147705,[0. 0. 0. 1.]
2,23.876436,6.5703936,0.9876961410045624,0.008802018596100147,dataset_snu_cell_07_f,37.300503,dataset_snu_cell_07_f,0.9685835838317871,[1. 0. 0. 0.]
3,28.604637,10.915944,0.9831744333108267,0.012750524298093553,dataset_snu_cell_03_n,49.769737,dataset_snu_cell_03_n,0.9566437005996704,[1. 0. 0. 0.]
4,30.972776,16.706377,0.9731979270776113,0.02967193039878194,dataset_snu_cell_15_n,58.673996,dataset_snu_cell_15_n,0.9152064919471741,[ 0.65994537 -0.03886526 -0.02733261  0.4075979 ]
5,28.283644,5.9705095,0.9836321671803793,0.007604175321306967,dataset_snu_cell_05_n,36.287663,dataset_snu_cell_05_n,0.9711439609527588,[0.5632049  0.01555986 0.07765203 0.31067502]
6,31.76985,9.176042,0.9807541370391846,0.011776547439158536,dataset_snu_cell_03_n,50.40492,dataset_snu_cell_03_n,0.9555299878120422,[0. 0. 0. 1.]
7,28.765913,7.1844807,0.9828022420406342,0.011125322966705042,dataset_snu_cell_07_f,42.28518,dataset_snu_cell_07_f,0.9596258401870728,[0. 0. 0. 1.]
8,24.570578,1.66318,0.9890766143798828,0.0012457012972948891,dataset_snu_cell_01_f,26.76429,dataset_snu_cell_01_f,0.9879612922668457,[0. 0. 0. 1.]
9,35.52632,16.866367,0.9657854040463766,0.03794250354487721,dataset_snu_cell_15_n,68.15655,dataset_snu_cell_15_n,0.8855840563774109,[0.5534473 0.0180068 0.0548567 0.4038024]
10,35.86808,15.270956,0.9675639371077219,0.02977781301169254,dataset_snu_cell_05_f,59.367603,dataset_snu_cell_05_f,0.920633852481842,[0. 0. 0. 1.]
11,26.00663,6.285071,0.9858872989813486,0.007505765967884217,dataset_snu_cell_07_f,35.911785,dataset_snu_cell_07_f,0.9708793759346008,[ 0.606121    0.08315133 -0.0799401   0.3771627 ]
12,33.989002,17.732992,0.968508780002594,0.03485153727390972,dataset_snu_cell_05_n,68.84352,dataset_snu_cell_05_n,0.8961408138275146,[0. 0. 0. 1.]
13,38.123623,10.106631,0.9686867694060007,0.024387750877911635,dataset_snu_cell_15_n,58.69271,dataset_snu_cell_15_n,0.915152370929718,[0. 1. 0. 0.]
